Plan_Name,Metal,AV,Category,Network,Select,Plan_Adjusted_Index_Rate,Member_Months
KP CO Bronze 4500/50/HSA,Bronze,0.61,Renewing,HMO,Classic-Off,259.7,11541
KP CO Bronze 5250/40,Bronze,0.615,Renewing,HMO,Classic-Off,296.17,30182
KP CO Bronze 5500/30Percent/HSA,Bronze,0.609,Renewing,HMO,Classic-Off,274.2,130678
KP CO Bronze 6000/50,Bronze,0.634,Renewing,HMO,Classic-Off,289.58,20557
KP CO Bronze 6500/50,Bronze,0.603,Renewing,HMO,Classic-Off,278.16,28940
KP CO Gold 0/20,Gold,0.812,Renewing,HMO,Classic-Off,420.97,85573
KP CO Gold 1000/20,Gold,0.798,Renewing,HMO,Classic-Off,399.44,25186
KP CO Gold 1500/20,Gold,0.761,New,HMO,Classic-Off,380,100
KP CO Silver 2000/25,Silver,0.72,Renewing,HMO,Classic-Off,351.98,69318
KP CO Silver 2750/20Percent/HSA,Silver,0.7,Renewing,HMO,Classic-Off,331.33,24047
KP CO Silver 3000/30,Silver,0.716,Renewing,HMO,Classic-Off,348.91,50682
KP CO Silver 4500/30,Silver,0.686,New,HMO,Classic-Off,340,100
KP Select CO Bronze 4500/50/HSA,Bronze,0.61,Renewing,HMO,Select-Off,236.41,521
KP Select CO Bronze 5250/40,Bronze,0.615,Renewing,HMO,Select-Off,269.37,1211
KP Select CO Bronze 5500/30Percent/HSA,Bronze,0.609,Renewing,HMO,Select-Off,249.6,14713
KP Select CO Bronze 6000/50,Bronze,0.634,Renewing,HMO,Select-Off,263.22,1420
KP Select CO Bronze 6500/50,Bronze,0.603,Renewing,HMO,Select-Off,253.11,3369
KP Select CO Gold 0/20,Gold,0.812,Renewing,HMO,Select-Off,383.18,5606
KP Select CO Gold 1000/20,Gold,0.798,Renewing,HMO,Select-Off,363.41,2642
KP Select CO Gold 1500/20,Gold,0.761,New,HMO,Select-Off,343,100
KP Select CO Silver 2000/25,Silver,0.72,Renewing,HMO,Select-Off,320.34,4351
KP Select CO Silver 2750/20Percent/HSA,Silver,0.7,Renewing,HMO,Select-Off,301.45,1868
KP Select CO Silver 3000/30,Silver,0.716,Renewing,HMO,Select-Off,317.27,3162
KP Select CO Silver 4500/30,Silver,0.686,New,HMO,Select-Off,307,100
